barrier,N,t,nh,
circular,4,64.878
circular,8,40.920,0
circular,11,31.944,0
circular,16,39.765,0
circular,20,39.699,310
elliptical,4,71.082,0
elliptical,8,37.618,0
elliptical,11,44.847,0
elliptical,16,44.550,0
elliptical,20,50.193,0
square,4,57.849,0
square,8,132.66,0
square,11,113.817,0
square,16,48.345,0
square,20,71.742,0
triangle,4,15.741,0
triangle,8,22.902,0
triangle,11,40.722,0
triangle,16,41.811,0
triangle,20,42.933,0
time_varying,4,63.624,0
time_varying,8,51.117,0
time_varying,11,44.715,0
time_varying,16,45.21,27
time_varying,20,51.678,25
