Barrier Name,N,Completion Time (s),Negative Iterations,Circle Time (%),Ellipse Time (%),Triangle Time (%),Square Time (%)
circular,4,20.394000000000002,0,1.0,0.0,0.0,0.0
circular,8,0.0,0,1.0,0.0,0.0,0.0
circular,11,40.227000000000004,0,1.0,0.0,0.0,0.0
circular,16,0.0,0,1.0,0.0,0.0,0.0
circular,20,0.0,3383,1.0,0.0,0.0,0.0
elliptical,4,107.91000000000001,18,0.0,1.0,0.0,0.0
elliptical,8,0.0,0,0.0,1.0,0.0,0.0
elliptical,11,35.673,0,0.0,1.0,0.0,0.0
elliptical,16,0.0,0,0.0,1.0,0.0,0.0
elliptical,20,0.0,0,0.0,1.0,0.0,0.0
square,4,41.382000000000005,0,0.0,0.0,0.0,1.0
square,8,0.0,0,0.0,0.0,0.0,1.0
square,11,111.144,0,0.0,0.0,0.0,1.0
square,16,66.528,0,0.0,0.0,0.0,1.0
square,20,151.305,0,0.0,0.0,0.0,1.0
triangle,4,16.698,0,0.0,0.0,1.0,0.0
triangle,8,97.086,0,0.0,0.0,1.0,0.0
triangle,11,35.706,0,0.0,0.0,1.0,0.0
triangle,16,59.796,0,0.0,0.0,1.0,0.0
triangle,20,0.0,7068,0.0,0.0,1.0,0.0
delta(circular-elliptical),4,49.203,0,0.019785378940308518,0.04024144869215292,0.0,0.0
delta(circular-elliptical),8,100.947,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),11,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),16,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),20,147.609,0,0.0,0.0,0.0,0.0
delta(circular-square),4,70.191,0,0.01386929948283968,0.028208744710860368,0.0,0.0
delta(circular-square),8,100.947,0,0.0,0.0,0.0,0.0
delta(circular-square),11,0.0,0,0.0,0.0,0.0,0.0
delta(circular-square),16,0.0,0,0.0,0.0,0.0,0.0
delta(circular-square),20,147.609,0,0.0,0.0,0.0,0.0
delta(circular-triangle),4,66.23100000000001,0,0.014698555057299452,0.029895366218236172,0.0,0.0
delta(circular-triangle),8,100.947,0,0.0,0.0,0.0,0.0
delta(circular-triangle),11,0.0,0,0.0,0.0,0.0,0.0
delta(circular-triangle),16,0.0,0,0.0,0.0,0.0,0.0
delta(circular-triangle),20,147.609,0,0.0,0.0,0.0,0.0
delta(elliptical-square),4,82.40100000000001,0,0.011814177012414898,0.024028834601521828,0.0,0.0
delta(elliptical-square),8,97.482,0,0.0,0.0,0.0,0.0
delta(elliptical-square),11,64.086,0,0.0,0.0,0.0,0.0
delta(elliptical-square),16,90.387,0,0.0,0.0,0.0,0.0
delta(elliptical-square),20,0.0,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),4,52.602000000000004,0,0.018506900878293604,0.037641154328732745,0.0,0.0
delta(elliptical-triangle),8,97.482,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),11,64.086,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),16,90.387,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),20,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),4,48.774,0,0.019959404600811907,0.04059539918809202,0.0,0.0
delta(square-triangle),8,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),11,85.40400000000001,0,0.0,0.0,0.0,0.0
delta(square-triangle),16,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),20,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),4,49.203,0,0.019785378940308518,0.04024144869215292,0.0,0.0
delta(circular-elliptical-square),8,100.947,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),11,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),16,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),20,147.609,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),4,49.203,0,0.019785378940308518,0.04024144869215292,0.0,0.0
delta(circular-elliptical-triangle),8,100.947,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),11,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),16,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),20,147.609,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),4,70.191,0,0.01386929948283968,0.028208744710860368,0.0,0.0
delta(circular-square-triangle),8,100.947,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),11,0.0,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),16,0.0,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),20,147.609,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),4,82.40100000000001,0,0.011814177012414898,0.024028834601521828,0.0,0.0
delta(elliptical-square-triangle),8,97.482,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),11,64.086,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),16,90.387,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),20,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square-triangle),4,49.203,0,0.019785378940308518,0.04024144869215292,0.0,0.0
delta(circular-elliptical-square-triangle),8,100.947,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square-triangle),11,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square-triangle),16,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square-triangle),20,147.609,0,0.0,0.0,0.0,0.0
